case_id,case_name,factor,level,difficulty,method,solution_hash,feasible,status,objective_value,objective_decision,processed_count,ordinary_count,precision_count,unprocessed_count,mean_utilization,max_utilization,run_seconds,intrinsic_block_value,ordinary_processing_increment,precision_processing_increment,same_precision_reward,precision_mismatch_penalty,cross_crack_loss
TIME05,加工时间梯度5,deadline,5,deadline,VDF,fde88b11bbe78f05,True,Feasible,2534.642951667583,1214.0,23,18,5,7,0.8669582198120638,0.9523809523809524,0.0034533999999979414,1352.642951667583,864.0,480.0,120.0,250.0,32.0
TIME05,加工时间梯度5,deadline,5,deadline,MG,e7f0e1998be7de05,True,Feasible,2619.642951667583,1299.0,23,18,5,7,0.8930404211382579,0.9523809523809524,0.04431340000000006,1352.642951667583,864.0,480.0,180.0,225.0,32.0
TIME05,加工时间梯度5,deadline,5,deadline,MG-LS,75a720ec5c6b7486,True,Feasible,2839.642951667583,1519.0,23,18,5,7,0.8813013350201926,0.9817286676761153,3.121349500000001,1352.642951667583,864.0,480.0,300.0,125.0,32.0
TIME06,加工时间梯度6,deadline,6,deadline,VF,e4a4d25b45e643ef,True,Feasible,2867.642951667583,1547.0,27,20,7,3,0.9460963444649615,0.9757967919547262,0.0019820999999993205,1352.642951667583,960.0,672.0,240.0,325.0,32.0
TIME06,加工时间梯度6,deadline,6,deadline,VDF,e7cb2c4bbdcabfcd,True,Feasible,2626.642951667583,1306.0,26,20,6,4,0.8880523462182784,0.9467865751768682,0.005095700000005365,1352.642951667583,960.0,576.0,120.0,350.0,32.0
TIME06,加工时间梯度6,deadline,6,deadline,MG,77d427b6698f60cd,True,Feasible,2688.642951667583,1368.0,26,21,5,4,0.8901506068534271,0.9546700971820162,0.05090789999999856,1352.642951667583,1008.0,480.0,180.0,300.0,32.0
TIME06,加工时间梯度6,deadline,6,deadline,MG-LS,88cfbd403fe821f8,True,Feasible,3149.642951667583,1829.0,27,21,6,3,0.9479924072994068,0.9991317910591443,4.867438199999995,1352.642951667583,1008.0,576.0,420.0,175.0,32.0
VALUE01,价值结构梯度1,value_structure,1,value_structure,VF,792681bc8c2f226a,True,Feasible,2054.642951667583,734.0,19,14,5,11,0.906031746031746,1.0,0.0010057000000003313,1352.642951667583,504.0,300.0,40.0,110.0,32.0
VALUE01,价值结构梯度1,value_structure,1,value_structure,VDF,5caa894afcb76c4c,True,Feasible,2164.642951667583,844.0,19,14,5,11,0.906031746031746,1.0,0.0013028999999988855,1352.642951667583,504.0,300.0,100.0,60.0,32.0
VALUE01,价值结构梯度1,value_structure,1,value_structure,MG,d362686e60a64edb,True,Feasible,2154.642951667583,834.0,19,14,5,11,0.906031746031746,1.0,0.038782400000002326,1352.642951667583,504.0,300.0,80.0,50.0,32.0
VALUE01,价值结构梯度1,value_structure,1,value_structure,MG-LS,d362686e60a64edb,True,Feasible,2154.642951667583,834.0,19,14,5,11,0.906031746031746,1.0,0.8924254000000005,1352.642951667583,504.0,300.0,80.0,50.0,32.0
VALUE02,价值结构梯度2,value_structure,2,value_structure,VF,792681bc8c2f226a,True,Feasible,2354.642951667583,1034.0,19,14,5,11,0.906031746031746,1.0,0.0015445999999954552,1352.642951667583,504.0,600.0,40.0,110.0,32.0
VALUE02,价值结构梯度2,value_structure,2,value_structure,VDF,1bdad1b4258832e3,True,Feasible,2314.642951667583,994.0,19,14,5,11,0.906031746031746,1.0,0.0021650999999991427,1352.642951667583,504.0,600.0,20.0,130.0,32.0
VALUE02,价值结构梯度2,value_structure,2,value_structure,MG,8d9426db46b26151,True,Feasible,2444.642951667583,1124.0,19,14,5,11,0.906031746031746,1.0,0.02945159999999447,1352.642951667583,504.0,600.0,80.0,60.0,32.0
VALUE02,价值结构梯度2,value_structure,2,value_structure,MG-LS,8d9426db46b26151,True,Feasible,2444.642951667583,1124.0,19,14,5,11,0.906031746031746,1.0,1.091577099999995,1352.642951667583,504.0,600.0,80.0,60.0,32.0
VALUE03,价值结构梯度3,value_structure,3,value_structure,VF,792681bc8c2f226a,True,Feasible,2678.642951667583,1358.0,19,14,5,11,0.906031746031746,1.0,0.0017710999999991373,1352.642951667583,1008.0,420.0,40.0,110.0,32.0
VALUE03,价值结构梯度3,value_structure,3,value_structure,VDF,d362686e60a64edb,True,Feasible,2778.642951667583,1458.0,19,14,5,11,0.906031746031746,1.0,0.0018524999999982583,1352.642951667583,1008.0,420.0,80.0,50.0,32.0
