case_id,case_name,factor,level,scenario_id,scenario_name,method,solution_hash,scenario_objective_if_completed,deterministic_objective,objective_change,value_drop_ratio,feasible_under_scenario,unavailable_assignment_count,overtime_device_count,total_overtime,max_overtime,mean_utilization,max_utilization,intrinsic_block_value,ordinary_processing_increment,precision_processing_increment,same_precision_reward,precision_mismatch_penalty,cross_crack_loss
SCALE02,木板规模梯度2,board_scale,2,U7,复合扰动,VF,508ca950cae1179c,1779.5994892253748,1860.649888196076,-81.05039897070128,0.04356026326332714,False,2,1,0.5,0.5,0.7691844806273659,1.1111111111111112,816.5994892253748,576.0,480.0,180.0,225.0,48.0
SCALE02,木板规模梯度2,board_scale,2,U0,基准情景,VDF,c5c8bb1a0fa202cd,1669.6498881960763,1669.6498881960763,0.0,0.0,True,0,0,0.0,0.0,0.8122798501225696,0.9554907933915364,877.6498881960763,672.0,288.0,60.0,200.0,28.0
SCALE02,木板规模梯度2,board_scale,2,U1,普通设备降速,VDF,c5c8bb1a0fa202cd,1669.6498881960763,1669.6498881960763,0.0,0.0,False,0,3,1.2726851798215675,0.5584806708963699,0.9107644179880469,1.124106815754749,877.6498881960763,672.0,288.0,60.0,200.0,28.0
SCALE02,木板规模梯度2,board_scale,2,U2,精密设备降速,VDF,c5c8bb1a0fa202cd,1669.6498881960763,1669.6498881960763,0.0,0.0,True,0,0,0.0,0.0,0.8758300081771196,0.9554907933915364,877.6498881960763,672.0,288.0,60.0,200.0,28.0
SCALE02,木板规模梯度2,board_scale,2,U3,全设备降速,VDF,c5c8bb1a0fa202cd,1669.6498881960763,1669.6498881960763,0.0,0.0,False,0,3,1.2726851798215675,0.5584806708963699,0.9556233530853762,1.124106815754749,877.6498881960763,672.0,288.0,60.0,200.0,28.0
SCALE02,木板规模梯度2,board_scale,2,U4,普通设备故障,VDF,c5c8bb1a0fa202cd,1669.6498881960763,1669.6498881960763,0.0,0.0,False,3,0,0.0,0.0,0.6230765686742845,0.9554907933915364,877.6498881960763,672.0,288.0,60.0,200.0,28.0
SCALE02,木板规模梯度2,board_scale,2,U5,精密设备故障,VDF,c5c8bb1a0fa202cd,1669.6498881960763,1669.6498881960763,0.0,0.0,False,1,0,0.0,0.0,0.6970154912909192,0.9554907933915364,877.6498881960763,672.0,288.0,60.0,200.0,28.0
SCALE02,木板规模梯度2,board_scale,2,U6,隐藏裂缝,VDF,c5c8bb1a0fa202cd,1588.5994892253748,1669.6498881960763,-81.05039897070151,0.04854335004224748,False,0,1,0.19887243210611238,0.19887243210611238,0.8627334130055904,1.0441938738013583,816.5994892253748,672.0,288.0,60.0,200.0,48.0
SCALE02,木板规模梯度2,board_scale,2,U7,复合扰动,VDF,c5c8bb1a0fa202cd,1588.5994892253748,1669.6498881960763,-81.05039897070151,0.04854335004224748,False,3,0,0.0,0.0,0.6854063121980668,0.9625589744640239,816.5994892253748,672.0,288.0,60.0,200.0,48.0
SCALE02,木板规模梯度2,board_scale,2,U0,基准情景,MG,405c6076fedaed37,1754.6498881960763,1754.6498881960763,0.0,0.0,True,0,0,0.0,0.0,0.8202532814591587,0.9554907933915364,877.6498881960763,672.0,288.0,120.0,175.0,28.0
