case_id,method,objective_value,feasible,processed_count,ordinary_count,precision_count,unprocessed_count,ordinary_blocks,precision_blocks,device_block_groups,device_loads,mean_utilization,max_utilization
CRACK06,MG,1891.2234054107876,True,17,14,3,13,B_1_1 B_1_3 B_1_5 B_2_1 B_2_3 B_2_5 B_3_1 B_4_4 B_4_5 B_5_1 B_5_3 B_5_5 B_6_1 B_6_5,B_1_4 B_2_4 B_3_4,O1:B_1_1 B_1_3 B_2_1 B_2_3 B_2_5 B_3_1; O2:B_4_4 B_4_5 B_5_1 B_5_5 B_6_1; O3:B_1_5 B_5_3 B_6_5; P1:B_1_4 B_2_4; P2:B_3_4,O1:4.000/4.500; O2:4.286/4.500; O3:3.739/4.500; P1:3.674/4.500; P2:3.481/4.500,0.8524575502078882,0.9523809523809523
CRACK06,MG-LS,2084.2234054107876,True,17,13,4,13,B_1_1 B_1_5 B_2_1 B_2_5 B_3_1 B_3_4 B_4_4 B_4_5 B_5_1 B_5_3 B_5_5 B_6_1 B_6_5,B_1_3 B_1_4 B_2_3 B_2_4,O1:B_1_1 B_2_1 B_2_5 B_3_1 B_3_4; O2:B_4_4 B_4_5 B_5_1 B_5_5 B_6_1; O3:B_1_5 B_5_3 B_6_5; P1:B_1_4 B_2_4; P2:B_1_3 B_2_3,O1:3.827/4.500; O2:4.286/4.500; O3:3.739/4.500; P1:3.674/4.500; P2:4.000/4.500,0.8678292719640204,0.9523809523809523
DEVICE01,VF,1675.642951667583,True,8,6,2,22,B_2_1 B_2_3 B_2_5 B_3_1 B_3_5 B_4_1,B_1_1 B_1_3,O1:B_2_1 B_2_3 B_2_5; O2:B_3_1 B_3_5; O3:B_4_1; P1:B_1_1; P2:B_1_3,O1:4.000/4.500; O2:3.429/4.500; O3:2.400/4.500; P1:3.000/4.500; P2:4.000/4.500,0.7479365079365079,0.8888888888888888
DEVICE01,VDF,1760.642951667583,True,8,6,2,22,B_1_1 B_1_3 B_2_1 B_2_3 B_2_5 B_3_5,B_3_1 B_4_1,O1:B_1_1 B_1_3 B_2_1; O2:B_2_3 B_2_5; O3:B_3_5; P1:B_3_1; P2:B_4_1,O1:4.000/4.500; O2:3.429/4.500; O3:2.400/4.500; P1:3.000/4.500; P2:4.000/4.500,0.7479365079365079,0.8888888888888888
DEVICE01,MG,1785.642951667583,True,8,6,2,22,B_1_1 B_1_3 B_2_1 B_2_3 B_2_5 B_3_1,B_5_1 B_6_1,O1:B_1_1 B_1_3 B_2_1; O2:B_2_3 B_2_5; O3:B_3_1; P1:B_6_1; P2:B_5_1,O1:4.000/4.500; O2:3.429/4.500; O3:2.400/4.500; P1:3.000/4.500; P2:4.000/4.500,0.7479365079365079,0.8888888888888888
DEVICE01,MG-LS,1785.642951667583,True,8,6,2,22,B_1_1 B_1_3 B_2_1 B_2_3 B_2_5 B_3_1,B_5_1 B_6_1,O1:B_1_1 B_1_3 B_2_1; O2:B_2_3 B_2_5; O3:B_3_1; P1:B_6_1; P2:B_5_1,O1:4.000/4.500; O2:3.429/4.500; O3:2.400/4.500; P1:3.000/4.500; P2:4.000/4.500,0.7479365079365079,0.8888888888888888
DEVICE02,VF,1998.642951667583,True,13,10,3,17,B_2_3 B_2_5 B_3_1 B_3_5 B_4_1 B_4_4 B_4_5 B_5_1 B_5_3 B_5_4,B_1_1 B_1_3 B_2_1,O1:B_2_3 B_2_5 B_3_1 B_3_5 B_4_1; O2:B_4_4 B_4_5 B_5_1; O3:B_5_3 B_5_4; P1:B_1_1 B_1_3; P2:B_2_1,O1:4.444/4.500; O2:3.429/4.500; O3:3.200/4.500; P1:4.000/4.500; P2:2.667/4.500,0.7884303350970018,0.9876543209876544
DEVICE02,VDF,2033.642951667583,True,13,10,3,17,B_1_1 B_1_3 B_2_1 B_2_3 B_2_5 B_3_1 B_3_5 B_4_1 B_5_1 B_5_3,B_4_4 B_4_5 B_5_4,O1:B_1_1 B_1_3 B_2_1 B_2_3 B_2_5; O2:B_3_1 B_3_5 B_4_1; O3:B_5_1 B_5_3; P1:B_4_4 B_4_5; P2:B_5_4,O1:4.444/4.500; O2:3.429/4.500; O3:3.200/4.500; P1:4.000/4.500; P2:2.667/4.500,0.7884303350970018,0.9876543209876544
DEVICE02,MG,2108.642951667583,True,13,10,3,17,B_1_1 B_1_3 B_2_1 B_2_3 B_2_5 B_3_1 B_3_5 B_4_1 B_4_4 B_4_5,B_5_1 B_6_1 B_6_2,O1:B_1_1 B_1_3 B_2_1 B_2_3 B_2_5; O2:B_3_1 B_3_5 B_4_1; O3:B_4_4 B_4_5; P1:B_5_1 B_6_1; P2:B_6_2,O1:4.444/4.500; O2:3.429/4.500; O3:3.200/4.500; P1:4.000/4.500; P2:2.667/4.500,0.7884303350970018,0.9876543209876544
DEVICE02,MG-LS,2108.642951667583,True,13,10,3,17,B_1_1 B_1_3 B_2_1 B_2_3 B_2_5 B_3_1 B_3_5 B_4_1 B_4_4 B_4_5,B_5_1 B_6_1 B_6_2,O1:B_1_1 B_1_3 B_2_1 B_2_3 B_2_5; O2:B_3_1 B_3_5 B_4_1; O3:B_4_4 B_4_5; P1:B_5_1 B_6_1; P2:B_6_2,O1:4.444/4.500; O2:3.429/4.500; O3:3.200/4.500; P1:4.000/4.500; P2:2.667/4.500,0.7884303350970018,0.9876543209876544
